time,x,y,yaw,v,a,phi
5.249999999999989342e+00,4.982841339759941590e+00,-1.367895726448408178e+00,-6.393472364102622540e-01,1.995680195422156578e+00,6.856323097577480923e-03,-2.756728032216722024e-01
5.299999999999989164e+00,5.062916552192607611e+00,-1.427434024709812732e+00,-6.707099180172196862e-01,1.996023011577035433e+00,3.114715567434903423e-03,-2.908645147959090238e-01
5.349999999999988987e+00,5.141098839335991322e+00,-1.489464659350224096e+00,-7.039053919073587906e-01,1.996178747355407124e+00,-4.981213998939437206e-04,-2.936837750593458418e-01
5.399999999999988809e+00,5.217185232228993996e+00,-1.554060981188353452e+00,-7.374444148848882108e-01,1.996153841285412511e+00,-3.886065040425274418e-03,-3.004675644712330174e-01
5.449999999999988631e+00,5.291061822496978984e+00,-1.621171522875725746e+00,-7.718058332694269774e-01,1.995959538033391212e+00,-6.846281488042501445e-03,-3.092384292120874401e-01
5.499999999999988454e+00,5.362582281715112309e+00,-1.690773678782662381e+00,-8.072327838055363136e-01,1.995617223958989106e+00,-1.635398617372894534e-02,-3.188045040939774255e-01
5.549999999999988276e+00,5.431580752190781958e+00,-1.762853019327804915e+00,-8.438261004279605793e-01,1.994799524650302747e+00,-1.070628121804110579e-02,-3.264721459736741327e-01
5.599999999999988098e+00,5.497868824881995131e+00,-1.837377876105574570e+00,-8.813491500111428900e-01,1.994264210589400621e+00,-1.423498499748110033e-02,-3.324086565582833330e-01
5.649999999999987921e+00,5.561297467252154014e+00,-1.914316368950008007e+00,-9.195967381358852721e-01,1.993552461339526571e+00,-1.392494574065499327e-02,-3.454845044146341304e-01
5.699999999999987743e+00,5.621716155710703156e+00,-1.993595689237400492e+00,-9.594588955002356645e-01,1.992856214052493913e+00,-1.525322176543134414e-02,-3.428691309739093640e-01
5.749999999999987566e+00,5.678907459242470424e+00,-2.075191305081981241e+00,-9.989803686823985895e-01,1.992093552964222303e+00,-1.649574702840922794e-02,-3.336839601746059980e-01
5.799999999999987388e+00,5.732809528095271112e+00,-2.158950834586342626e+00,-1.037344356579984916e+00,1.991268765612801861e+00,-1.743380879605103267e-02,-3.213387991165055357e-01
5.849999999999987210e+00,5.783438403420452012e+00,-2.244680614858836520e+00,-1.074169098970632952e+00,1.990397075172999353e+00,-1.834818098480682502e-02,-3.094050948477645169e-01
5.899999999999987033e+00,5.830855924664565038e+00,-2.332177928938796718e+00,-1.109517631216718758e+00,1.989479666123759038e+00,-1.931167429158112819e-02,-2.922078795141420104e-01
5.949999999999986855e+00,5.875131150249474743e+00,-2.421255298422886781e+00,-1.142766132316141325e+00,1.988514082409180039e+00,-2.029974370056327956e-02,-2.740582128749978752e-01
5.999999999999986677e+00,5.916400722705508208e+00,-2.511711326575494230e+00,-1.173823642788775823e+00,1.987499095224151802e+00,-2.130878386050883561e-02,-2.560145819241148035e-01
6.049999999999986500e+00,5.954821884522826458e+00,-2.603358453963097396e+00,-1.202726139813608208e+00,1.986433656031126427e+00,-2.232835831135052823e-02,-2.392565317015784843e-01
6.099999999999986322e+00,5.990559369679487212e+00,-2.696027914030643124e+00,-1.229645500113941026e+00,1.985317238115558824e+00,-2.335041014958248382e-02,-2.229762946226526987e-01
6.149999999999986144e+00,6.023770929591282908e+00,-2.789573109674899243e+00,-1.254654611758691196e+00,1.984149717608079788e+00,0.000000000000000000e+00,0.000000000000000000e+00
